Location_ID,Location_Name,Location_Type,City,State,Latitude,Longitude,Ramp_Available,Elevator_Available,Wheelchair_Entrance,Braille_Signage,Audio_Announcements,Accessible_Washroom,Tactile_Path,Reserved_Parking,Footpath_Condition,Lighting,Safety_Level,CCTV_Available,Public_Transport_Nearby,Parking_Available,Crowd_Level,Average_Waiting_Time,Daily_Footfall,User_Rating,Accessibility_Complaints,Last_Inspection_Months,Number_of_Floors,Lift_Condition,Emergency_Exit_Accessibility,Accessibility_Score,Accessibility_Category,Improvement_Priority
LOC0001,Patna Medical Center,Hospital,Patna,Bihar,25.575764,85.245179,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Average,Good,Medium,Yes,Yes,Yes,High,10,923,3.3,5,18,5,Average,Partial,77.2,Good,Medium
LOC0002,Hyderabad Central Station,Railway Station,Hyderabad,Telangana,17.332748,78.447838,Yes,Yes,Yes,Yes,No,Yes,No,No,Average,Average,Low,Yes,Yes,No,Low,12,17156,3.1,6,5,1,Poor,Partial,65.8,Average,Medium
LOC0003,Lucknow International Airport,Airport,Lucknow,Uttar Pradesh,26.9262,80.986615,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Average,Average,Medium,Yes,Yes,Yes,Medium,21,12506,3.4,0,19,2,Average,Yes,93.4,Excellent,Low
LOC0004,Indore General Hospital,Hospital,Indore,Madhya Pradesh,22.719913,75.753394,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Poor,Average,Medium,Yes,No,Yes,Medium,14,3816,3.1,1,16,3,Good,Yes,79.1,Good,Medium
LOC0005,Delhi Plaza Mall,Mall,Delhi,Delhi,28.811084,77.180056,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Good,Poor,Medium,Yes,Yes,Yes,Medium,29,10345,3.5,3,14,3,Good,Partial,92,Excellent,Low
LOC0006,Delhi Plaza Mall,Mall,Delhi,Delhi,28.696147,77.032593,Yes,Yes,Yes,No,No,Yes,No,Yes,Average,Average,High,Yes,Yes,Yes,High,14,19577,2.8,6,14,5,Good,No,71.5,Average,Medium
LOC0007,Delhi Railway Station,Railway Station,Delhi,Delhi,28.567573,77.083029,No,No,No,No,Yes,No,No,Yes,Poor,Good,High,Yes,Yes,Yes,High,40,18158,3.2,6,3,2,NA,Yes,50.4,Poor,High
LOC0008,Delhi Railway Station,Railway Station,Delhi,Delhi,28.593647,77.155798,No,No,No,Yes,No,No,No,Yes,Average,Average,Low,Yes,Yes,Yes,High,16,11857,2.5,3,17,1,NA,Partial,37.6,Poor,High
LOC0009,Visakhapatnam Multispeciality Hospital,Hospital,Visakhapatnam,Andhra Pradesh,17.715613,83.348407,Yes,Yes,Yes,No,No,Yes,No,Yes,Good,Good,Medium,Yes,No,Yes,High,14,2603,5,3,10,7,Average,Yes,92.1,Excellent,Medium
LOC0010,Delhi Health Centre,Hospital,Delhi,Delhi,28.6472,76.995662,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,Average,Low,Yes,No,Yes,High,6,2914,3.8,2,6,2,Good,Yes,98.9,Excellent,Medium
LOC0011,Thane Temple Complex,Tourist Attraction,Thane,Maharashtra,19.318338,72.843689,No,No,No,No,No,No,No,Yes,Average,Good,Medium,Yes,Yes,No,Low,3,477,2.2,1,3,1,NA,Yes,51.4,Poor,Medium
LOC0012,Hyderabad Shopping Mall,Mall,Hyderabad,Telangana,17.333249,78.450539,No,No,Yes,Yes,No,No,No,No,Average,Good,Medium,Yes,No,Yes,High,41,8046,4.3,2,3,5,NA,Yes,61.8,Average,Medium
LOC0013,Nashik Botanical Garden,Tourist Attraction,Nashik,Maharashtra,20.087765,73.817905,No,No,Yes,No,Yes,No,Yes,No,Poor,Poor,Medium,Yes,Yes,Yes,Medium,23,589,3.5,1,11,1,NA,Partial,42.1,Poor,High
LOC0014,Thiruvananthapuram City Bus Stop,Bus Stop,Thiruvananthapuram,Kerala,8.575469,76.886691,No,Yes,Yes,Yes,Yes,Yes,No,No,Poor,Poor,Medium,Yes,Yes,No,Medium,24,2025,3.5,4,11,1,Poor,Yes,56.6,Average,Medium
LOC0015,Thane Bus Stand,Bus Stop,Thane,Maharashtra,19.31592,72.916708,No,Yes,No,No,Yes,No,No,No,Poor,Average,High,No,Yes,No,High,2,2617,2.3,5,0,1,Good,No,38.9,Poor,High
LOC0016,Visakhapatnam Health Centre,Hospital,Visakhapatnam,Andhra Pradesh,17.608366,83.323323,No,No,No,No,No,Yes,Yes,Yes,Poor,Good,Medium,Yes,No,Yes,Low,14,570,3.8,2,1,5,NA,Yes,58.6,Average,Medium
LOC0017,Kochi Central Station,Railway Station,Kochi,Kerala,9.994073,76.169238,No,No,No,No,No,Yes,No,Yes,Poor,Good,Medium,No,Yes,Yes,Medium,41,6120,4.1,2,11,2,NA,No,40,Poor,High
LOC0018,Ahmedabad Central Park,Park,Ahmedabad,Gujarat,22.996043,72.544035,No,Yes,Yes,No,No,Yes,No,No,Average,Poor,Medium,No,No,Yes,Low,16,1683,4.3,7,12,1,Average,Yes,54.5,Poor,High
LOC0019,Pune International Airport,Airport,Pune,Maharashtra,18.622998,73.72337,Yes,Yes,Yes,No,Yes,No,No,Yes,Good,Poor,Low,Yes,No,Yes,High,17,10216,3.9,3,16,3,Average,Yes,66.9,Average,Medium
LOC0020,Delhi Municipal Office,Government Office,Delhi,Delhi,28.804991,77.24924,No,Yes,Yes,Yes,Yes,No,No,No,Good,Good,Medium,Yes,Yes,No,Low,39,4275,1.7,1,14,3,Average,Partial,77.2,Good,Low
LOC0021,Ahmedabad Airport Terminal,Airport,Ahmedabad,Gujarat,23.101371,72.438833,Yes,Yes,Yes,Yes,No,No,No,No,Average,Average,High,Yes,No,Yes,Medium,41,19969,3.8,0,0,4,Good,Yes,90.4,Excellent,Low
LOC0022,Nashik Bus Stand,Bus Stop,Nashik,Maharashtra,19.981962,73.732061,Yes,No,No,No,No,No,No,No,Poor,Good,Low,No,No,No,Medium,16,220,2.9,6,13,1,NA,Yes,31,Poor,High
LOC0023,Patna City Centre Mall,Mall,Patna,Bihar,25.59101,85.283262,Yes,No,Yes,No,No,No,No,Yes,Average,Average,Medium,Yes,Yes,Yes,High,34,19624,3.9,1,17,2,NA,Partial,59.4,Average,Medium
LOC0024,Surat Bus Depot,Bus Stop,Surat,Gujarat,21.174589,72.884286,No,No,No,No,No,No,No,No,Poor,Good,High,No,Yes,Yes,Medium,18,1459,2.8,6,17,1,NA,Partial,34.1,Poor,High
LOC0025,Jaipur City Bus Stop,Bus Stop,Jaipur,Rajasthan,26.911475,75.67761,Yes,Yes,Yes,No,No,No,No,No,Poor,Good,Medium,No,Yes,Yes,High,14,1056,1.1,5,8,1,Average,Partial,48.1,Poor,High
LOC0026,Mysuru Airport Terminal,Airport,Mysuru,Karnataka,12.380947,76.620916,No,Yes,Yes,No,No,Yes,No,Yes,Average,Good,Low,Yes,No,Yes,Low,6,7992,2.4,0,23,4,Average,Yes,63.8,Average,Medium
LOC0027,Pune Health Centre,Hospital,Pune,Maharashtra,18.40388,73.822051,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Average,Average,Medium,Yes,Yes,Yes,Medium,13,3641,2,2,7,6,Poor,Yes,86.4,Good,Low
LOC0028,Jaipur Degree College,College,Jaipur,Rajasthan,26.975867,75.682436,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Good,Poor,Medium,Yes,Yes,No,Low,32,4535,2.5,5,17,3,NA,Yes,78,Good,Medium
LOC0029,Patna Plaza Mall,Mall,Patna,Bihar,25.62432,85.052507,Yes,Yes,Yes,Yes,Yes,No,No,No,Good,Good,Medium,Yes,No,Yes,Low,36,8399,2.7,0,12,7,Poor,Yes,91.3,Excellent,Low
LOC0030,Ahmedabad General Hospital,Hospital,Ahmedabad,Gujarat,23.141691,72.685514,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Good,Average,Medium,Yes,Yes,No,Medium,28,3882,4.4,3,22,5,Good,Partial,91.5,Excellent,Low
LOC0031,Udaipur Central Park,Park,Udaipur,Rajasthan,24.557788,73.590722,No,Yes,No,Yes,Yes,No,No,Yes,Average,Average,Low,Yes,No,No,Medium,14,1306,4.1,3,18,1,Good,Yes,63.2,Average,Medium
LOC0032,Chandigarh Green Park,Park,Chandigarh,Chandigarh,30.590242,76.923167,No,No,Yes,No,No,No,No,No,Average,Good,High,Yes,Yes,Yes,Medium,3,2214,3.2,1,8,1,NA,No,51.6,Poor,Medium
LOC0033,Kochi Bus Stand,Bus Stop,Kochi,Kerala,9.864634,76.177926,No,No,Yes,No,No,No,No,Yes,Poor,Poor,Low,Yes,Yes,No,High,10,1661,1.9,5,22,1,NA,Partial,13.4,Poor,High
LOC0034,Delhi City Centre Mall,Mall,Delhi,Delhi,28.630077,77.000594,Yes,Yes,Yes,Yes,No,No,Yes,No,Good,Average,High,Yes,No,Yes,Medium,7,12931,3.3,3,10,5,Good,Yes,98,Excellent,Low
LOC0035,Chennai Shopping Mall,Mall,Chennai,Tamil Nadu,13.214706,80.387097,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Average,Good,High,Yes,No,Yes,Low,9,9462,3.8,0,21,5,Good,Yes,100,Excellent,Low
LOC0036,Udaipur Grand Mall,Mall,Udaipur,Rajasthan,24.491572,73.859081,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Poor,Good,Medium,Yes,No,Yes,Low,27,15607,3.5,0,23,4,Good,Yes,87,Good,Medium
LOC0037,Patna Plaza Mall,Mall,Patna,Bihar,25.561978,85.264156,No,Yes,Yes,No,No,No,Yes,Yes,Average,Poor,Medium,Yes,No,Yes,High,26,10698,3.1,5,3,6,Average,No,44.8,Poor,High
LOC0038,Ahmedabad Degree College,College,Ahmedabad,Gujarat,23.066622,72.524109,Yes,Yes,No,No,No,Yes,Yes,Yes,Average,Good,High,No,No,Yes,Low,14,2480,3.4,2,6,2,Poor,Partial,79.7,Good,Low
LOC0039,Chandigarh Collectorate Office,Government Office,Chandigarh,Chandigarh,30.770943,76.725547,Yes,Yes,Yes,Yes,No,No,No,No,Average,Average,High,No,Yes,Yes,Low,36,2312,3.7,6,16,1,Average,Yes,80.9,Good,Low
LOC0040,Mysuru Institute of Technology,College,Mysuru,Karnataka,12.321588,76.612395,No,Yes,Yes,Yes,No,No,Yes,No,Good,Good,Medium,Yes,Yes,No,High,35,4172,4,1,22,2,Average,No,71.9,Average,Medium
LOC0041,Bengaluru Domestic Airport,Airport,Bengaluru,Karnataka,12.855153,77.694359,Yes,Yes,Yes,No,No,No,No,Yes,Good,Average,High,Yes,No,No,Low,31,9268,2.9,3,9,3,Average,Partial,81,Good,Low
LOC0042,Jaipur Central Station,Railway Station,Jaipur,Rajasthan,27.030309,75.680473,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Good,Poor,Medium,Yes,Yes,Yes,Medium,23,4633,4.2,2,19,1,Average,Partial,91.2,Excellent,Low
LOC0043,Indore Collectorate Office,Government Office,Indore,Madhya Pradesh,22.679971,75.773457,No,Yes,Yes,Yes,Yes,No,No,No,Average,Poor,Low,Yes,No,Yes,High,11,2545,2.2,7,12,1,Average,Partial,41.2,Poor,High
LOC0044,Mysuru Bus Stand,Bus Stop,Mysuru,Karnataka,12.271397,76.716773,Yes,Yes,No,No,No,No,Yes,Yes,Good,Poor,Medium,Yes,Yes,No,Medium,21,1771,3.3,2,22,1,Poor,Partial,62,Average,Medium
LOC0045,Thane Heritage Fort,Tourist Attraction,Thane,Maharashtra,19.130396,72.95492,No,Yes,Yes,Yes,No,Yes,No,Yes,Good,Good,Medium,No,No,Yes,Low,6,577,2.8,3,20,1,Average,Partial,80,Good,Low
LOC0046,Nashik Grand Mall,Mall,Nashik,Maharashtra,20.020558,73.881657,Yes,Yes,No,Yes,No,No,Yes,Yes,Average,Good,High,Yes,Yes,No,Medium,37,19636,3.1,2,15,3,Average,Partial,84.5,Good,Low
