Location_ID,Location_Name,Location_Type,City,State,Latitude,Longitude,Ownership_Type,Building_Age_Years,Last_Renovation_Years_Ago,Number_of_Floors,Ramp_Available,Elevator_Available,Wheelchair_Entrance,Braille_Signage,Audio_Announcements,Accessible_Washroom,Tactile_Path,Reserved_Parking,Door_Width_cm,Footpath_Condition,Lighting,Safety_Level,CCTV_Available,Staff_Trained_Accessibility,Multilingual_Signage,Public_Transport_Nearby,Parking_Available,Crowd_Level,Average_Waiting_Time,Daily_Footfall,Staff_Count,Budget_Allocated_Lakh_INR,Complaint_Resolution_Days,Accessibility_Complaints,User_Rating,Google_Maps_Rating,Last_Inspection_Months,Lift_Condition,Emergency_Exit_Accessibility,Accessibility_Score,Accessibility_Category,Improvement_Priority,Infrastructure_Score,Accessibility_Support_Score,Safety_Index,Facility_Score,Crowd_Risk,Complaint_Rate,Accessibility_Efficiency,DBSCAN_Cluster,GMM_Cluster
LOC0001,Kolkata Botanical Garden,8,13,14,22.691764,88.446606,1,168,32.0,1,0,0,0,0,0,1,0,0,60.4,1,0,0,0,0,0,0,0,1,5.0,214,2.0,16.0,13.0,3,1.8,1.8,12.0,1,1,47.2,Poor,Medium,1,0,0,0,5.0,0.013953488372093,7.866666666666667,-1,3
LOC0002,Hyderabad Municipal Office,3,8,12,17.23612,78.585714,1,57,12.0,1,0,0,0,1,0,0,0,1,78.6,0,2,2,1,1,0,1,1,2,20.0,2794,9.0,37.3,12.0,3,1.9,1.8,15.0,1,0,36.1,Poor,High,1,1,5,2,40.0,0.0010733452593917,1.7190476190476192,-1,1
LOC0003,Thane Government College,2,22,9,19.107785,73.081622,1,48,20.0,3,1,1,0,0,1,0,0,0,84.9,0,0,1,1,0,1,1,0,1,18.0,3741,16.0,31.6,17.0,6,1.6,1.5,12.0,2,2,50.3,Poor,High,2,1,2,1,18.0,0.0016034206306787,2.647368421052632,-1,1
LOC0004,Nashik Green Park,6,18,9,19.849054,73.865693,1,38,22.0,1,1,0,0,0,0,1,0,0,82.8,2,0,1,1,0,0,1,1,2,23.0,2482,9.0,18.1,21.0,5,3.2,3.1,12.0,1,1,38.2,Poor,High,2,0,2,2,46.0,0.0020136931131695,1.5916666666666668,-1,1
LOC0005,Patna Domestic Airport,0,19,2,25.647041,85.202726,1,5,5.0,4,1,1,1,0,0,1,0,1,95.6,0,1,0,1,0,1,0,1,2,5.0,9770,39.0,122.0,10.0,4,4.4,4.3,18.0,1,2,100.0,Excellent,Low,5,0,2,1,10.0,0.000409374680176,16.666666666666668,-1,2
LOC0006,Nashik General Hospital,4,18,9,20.017617,73.651496,1,13,4.0,5,1,1,0,0,0,0,0,1,77.6,1,1,0,1,1,0,0,0,2,32.0,1068,2.0,33.4,8.0,2,3.6,3.6,9.0,0,2,91.5,Excellent,Low,3,0,2,0,64.0,0.0018709073900841,2.772727272727273,-1,0
LOC0007,Bhopal City Centre Mall,5,2,8,23.299486,77.509766,0,18,18.0,3,0,1,1,0,1,1,0,1,89.5,0,0,0,1,1,0,1,1,2,31.0,17743,63.0,97.9,16.0,2,3.3,3.6,12.0,1,2,87.5,Good,Low,4,1,1,2,62.0,0.0001127141568981,2.734375,-1,2
LOC0008,Guwahati Collectorate Office,3,7,1,26.018879,91.858118,1,19,19.0,3,0,1,1,0,0,0,1,0,88.7,2,1,2,0,0,0,1,1,2,31.0,1450,7.0,31.8,18.0,8,3.9,3.8,14.0,2,1,49.8,Poor,High,2,1,3,2,62.0,0.0055134390075809,1.55625,-1,1
LOC0009,Hyderabad Central Station,7,8,12,17.360931,78.346702,1,37,22.0,2,0,1,0,0,0,1,0,0,69.3,2,1,0,1,0,0,1,1,0,43.0,12316,49.0,80.1,8.0,3,2.9,3.4,10.0,2,1,49.3,Poor,High,2,0,2,2,0.0,0.0002435658033612,1.1204545454545454,-1,1
LOC0010,Indore College of Engineering,2,9,8,22.868208,75.97431,1,8,8.0,2,1,1,1,0,1,1,0,0,94.1,2,0,2,1,0,1,1,1,0,35.0,1320,7.0,41.0,21.0,7,2.1,2.2,8.0,1,2,72.1,Average,High,4,1,3,2,0.0,0.0052990158970476,2.0027777777777778,-1,1
