Location_ID,Location_Name,Location_Type,City,State,Latitude,Longitude,Ownership_Type,Building_Age_Years,Last_Renovation_Years_Ago,Number_of_Floors,Ramp_Available,Elevator_Available,Wheelchair_Entrance,Braille_Signage,Audio_Announcements,Accessible_Washroom,Tactile_Path,Reserved_Parking,Door_Width_cm,Footpath_Condition,Lighting,Safety_Level,CCTV_Available,Staff_Trained_Accessibility,Multilingual_Signage,Public_Transport_Nearby,Parking_Available,Crowd_Level,Average_Waiting_Time,Daily_Footfall,Staff_Count,Budget_Allocated_Lakh_INR,Complaint_Resolution_Days,Accessibility_Complaints,User_Rating,Google_Maps_Rating,Last_Inspection_Months,Lift_Condition,Emergency_Exit_Accessibility,Accessibility_Score,Accessibility_Category,Improvement_Priority
LOC0001,Kolkata Botanical Garden,Tourist Attraction,Kolkata,West Bengal,22.691764,88.446606,Public,168,32,1,No,No,No,No,No,Yes,No,No,60.4,Good,Average,High,No,No,No,No,No,Low,5,214,2,16,13,3,1.8,1.8,12,NA,Partial,47.2,Poor,Medium
LOC0002,Hyderabad Municipal Office,Government Office,Hyderabad,Telangana,17.23612,78.585714,Public,57,12,1,No,No,No,Yes,No,No,No,Yes,78.6,Average,Poor,Medium,Yes,Yes,No,Yes,Yes,Medium,20,2794,9,37.3,12,3,1.9,1.8,15,NA,No,36.1,Poor,High
LOC0003,Thane Government College,College,Thane,Maharashtra,19.107785,73.081622,Public,48,20,3,Yes,Yes,No,No,Yes,No,No,No,84.9,Average,Average,Low,Yes,No,Yes,Yes,No,Low,18,3741,16,31.6,17,6,1.6,1.5,12,Poor,Yes,50.3,Poor,High
LOC0004,Nashik Green Park,Park,Nashik,Maharashtra,19.849054,73.865693,Public,38,22,1,Yes,No,No,No,No,Yes,No,No,82.8,Poor,Average,Low,Yes,No,No,Yes,Yes,Medium,23,2482,9,18.1,21,5,3.2,3.1,12,NA,Partial,38.2,Poor,High
LOC0005,Patna Domestic Airport,Airport,Patna,Bihar,25.647041,85.202726,Public,5,5,4,Yes,Yes,Yes,No,No,Yes,No,Yes,95.6,Average,Good,High,Yes,No,Yes,No,Yes,Medium,5,9770,39,122,10,4,4.4,4.3,18,Good,Yes,100,Excellent,Low
LOC0006,Nashik General Hospital,Hospital,Nashik,Maharashtra,20.017617,73.651496,Public,13,4,5,Yes,Yes,No,No,No,No,No,Yes,77.6,Good,Good,High,Yes,Yes,No,No,No,Medium,32,1068,2,33.4,8,2,3.6,3.6,9,Average,Yes,91.5,Excellent,Low
LOC0007,Bhopal City Centre Mall,Mall,Bhopal,Madhya Pradesh,23.299486,77.509766,Private,18,18,3,No,Yes,Yes,No,Yes,Yes,No,Yes,89.5,Average,Average,High,Yes,Yes,No,Yes,Yes,Medium,31,17743,63,97.9,16,2,3.3,3.6,12,Good,Yes,87.5,Good,Low
LOC0008,Guwahati Collectorate Office,Government Office,Guwahati,Assam,26.018879,91.858118,Public,19,19,3,No,Yes,Yes,No,No,No,Yes,No,88.7,Poor,Good,Medium,No,No,No,Yes,Yes,Medium,31,1450,7,31.8,18,8,3.9,3.8,14,Poor,Partial,49.8,Poor,High
LOC0009,Hyderabad Central Station,Railway Station,Hyderabad,Telangana,17.360931,78.346702,Public,37,22,2,No,Yes,No,No,No,Yes,No,No,69.3,Poor,Good,High,Yes,No,No,Yes,Yes,High,43,12316,49,80.1,8,3,2.9,3.4,10,Poor,Partial,49.3,Poor,High
LOC0010,Indore College of Engineering,College,Indore,Madhya Pradesh,22.868208,75.97431,Public,8,8,2,Yes,Yes,Yes,No,Yes,Yes,No,No,94.1,Poor,Average,Medium,Yes,No,Yes,Yes,Yes,High,35,1320,7,41,21,7,2.1,2.2,8,Good,Yes,72.1,Average,High
LOC0011,Jaipur Museum,Tourist Attraction,Jaipur,Rajasthan,27.026657,75.865588,Public,159,42,1,No,No,No,Yes,No,Yes,No,No,61.4,Average,Poor,Medium,Yes,No,No,Yes,Yes,High,12,2579,11,20.5,27,9,1.2,1.4,16,NA,Partial,22.9,Poor,High
LOC0012,Ahmedabad City Centre Mall,Mall,Ahmedabad,Gujarat,23.088633,72.57839,Private,24,18,2,No,Yes,Yes,No,No,Yes,No,Yes,85.6,Average,Average,Medium,Yes,No,Yes,Yes,No,High,6,12487,51,155.9,15,5,3,3.1,19,Good,Partial,62.7,Average,Medium
LOC0013,Thane Domestic Airport,Airport,Thane,Maharashtra,19.202487,73.041967,Private,24,18,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,85.6,Average,Poor,Low,Yes,Yes,No,Yes,Yes,Medium,15,8697,39,280.5,1,1,3.2,2.8,1,Good,Partial,74.3,Average,Medium
LOC0014,Guwahati City Centre Mall,Mall,Guwahati,Assam,26.136602,91.816573,Private,17,11,2,Yes,Yes,Yes,Yes,No,No,No,Yes,94.7,Average,Average,Medium,Yes,Yes,No,Yes,Yes,Medium,8,6422,25,122.2,10,3,3.5,3.3,23,Average,Yes,88.6,Good,Low
LOC0015,Chandigarh Government College,College,Chandigarh,Chandigarh,30.780215,76.815672,Public,65,17,2,Yes,No,No,Yes,No,No,Yes,Yes,81.2,Average,Good,Medium,Yes,Yes,No,Yes,Yes,Low,14,608,2,43.6,18,6,1.5,1.6,23,NA,No,56.7,Average,Medium
LOC0016,Bengaluru Botanical Garden,Tourist Attraction,Bengaluru,Karnataka,13.107607,77.710459,Public,33,7,1,No,No,No,No,No,No,No,No,78.5,Poor,Poor,Medium,Yes,No,Yes,No,Yes,Low,11,2526,13,29.3,18,5,3.1,3.2,3,NA,Partial,28.2,Poor,High
LOC0017,Nagpur City Hospital,Hospital,Nagpur,Maharashtra,21.235647,79.144099,Private,49,12,5,Yes,Yes,No,Yes,No,Yes,No,No,81.3,Average,Poor,High,Yes,Yes,No,No,Yes,High,37,1708,17,101.1,13,1,4.2,4,15,Good,Partial,75.7,Good,Medium
LOC0018,Jaipur Collectorate Office,Government Office,Jaipur,Rajasthan,26.903186,75.895266,Public,29,11,2,Yes,Yes,Yes,Yes,Yes,No,No,No,99.1,Poor,Good,Medium,No,No,No,Yes,Yes,High,35,4778,19,44.6,14,6,3.5,3.5,17,Good,Yes,77.4,Good,Medium
LOC0019,Lucknow City Hospital,Hospital,Lucknow,Uttar Pradesh,26.982773,80.970022,Private,33,17,6,Yes,No,Yes,Yes,No,Yes,Yes,No,92.5,Good,Average,Medium,Yes,Yes,No,No,Yes,Medium,10,3885,27,120.3,13,2,3.8,3.3,2,NA,Yes,95.1,Excellent,Low
LOC0020,Jaipur Junction,Railway Station,Jaipur,Rajasthan,26.783452,75.688684,Public,84,33,3,No,Yes,Yes,No,No,Yes,No,Yes,87.3,Average,Good,High,No,Yes,No,Yes,Yes,Medium,7,19507,71,118.6,16,2,3.5,4,19,Average,Partial,72.1,Average,Low
LOC0021,Chandigarh Public Garden,Park,Chandigarh,Chandigarh,30.705304,76.895537,Public,28,22,1,Yes,No,No,No,Yes,No,No,Yes,72.8,Average,Poor,High,No,No,Yes,No,Yes,High,10,908,2,19.3,19,10,2.6,2.4,14,NA,No,35.3,Poor,High
LOC0022,Hyderabad Collectorate Office,Government Office,Hyderabad,Telangana,17.517063,78.458467,Public,63,17,1,No,No,Yes,Yes,No,No,No,No,80.1,Average,Average,High,Yes,Yes,No,Yes,No,Low,39,2516,9,30,14,6,2.5,2.3,16,NA,No,51,Poor,Medium
LOC0023,Coimbatore Medical Center,Hospital,Coimbatore,Tamil Nadu,10.942864,76.86589,Public,14,13,2,No,No,Yes,No,No,No,Yes,Yes,85.3,Good,Good,Low,Yes,Yes,No,Yes,Yes,Medium,12,4587,20,84.1,17,2,4.9,5,10,NA,Yes,73.8,Average,Medium
LOC0024,Mumbai Lake View Point,Tourist Attraction,Mumbai,Maharashtra,18.963849,72.917664,Public,45,9,1,Yes,Yes,No,No,No,No,Yes,Yes,82.4,Poor,Good,High,Yes,No,No,No,Yes,Medium,20,1139,3,25.1,18,6,2.1,2.1,19,Average,Yes,64.4,Average,Medium
LOC0025,Indore Government College,College,Indore,Madhya Pradesh,22.720371,75.968356,Private,63,27,1,No,Yes,Yes,No,No,Yes,No,No,85.9,Poor,Average,Low,Yes,No,No,Yes,Yes,Medium,9,4726,23,62.8,17,3,1.9,1.8,5,Good,Yes,47.3,Poor,High
LOC0026,Indore Bus Depot,Bus Stop,Indore,Madhya Pradesh,22.73162,75.822143,Public,2,2,1,Yes,No,No,No,No,No,No,No,87.2,Poor,Average,Medium,Yes,No,No,Yes,No,Medium,3,2527,9,17.7,20,9,1.3,1.5,14,NA,Partial,33.9,Poor,High
LOC0027,Nashik Central Station,Railway Station,Nashik,Maharashtra,19.885264,73.678257,Public,33,23,1,Yes,Yes,Yes,Yes,No,No,No,Yes,103.2,Poor,Average,Low,No,No,No,Yes,No,Medium,25,15951,64,102.9,8,2,1.5,1.4,13,Good,Partial,60.3,Average,Medium
LOC0028,Thane Lake View Point,Tourist Attraction,Thane,Maharashtra,19.209888,73.005831,Private,25,10,1,Yes,Yes,Yes,No,No,No,No,No,103.5,Poor,Average,Medium,Yes,No,No,No,Yes,Medium,14,2452,8,25.3,13,4,3.1,3.7,4,Average,No,55.8,Average,Medium
LOC0029,Nashik Museum,Tourist Attraction,Nashik,Maharashtra,19.856511,73.93816,Private,86,26,1,No,Yes,Yes,No,No,No,No,No,80.2,Poor,Average,Low,No,Yes,No,No,Yes,Low,8,338,5,14.4,27,6,2.3,2.1,21,Poor,Partial,25.7,Poor,High
LOC0030,Patna General Hospital,Hospital,Patna,Bihar,25.473278,85.249652,Public,18,14,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,95.4,Average,Average,High,Yes,Yes,Yes,No,Yes,Low,8,4411,22,71.7,9,2,3.2,3,11,Good,Yes,100,Excellent,Low
LOC0031,Thiruvananthapuram Public Garden,Park,Thiruvananthapuram,Kerala,8.585943,76.927866,Public,45,9,1,Yes,Yes,No,Yes,No,No,No,Yes,81.4,Poor,Average,High,No,Yes,No,No,Yes,Low,7,2344,8,20.7,17,4,3,3.3,8,Average,Yes,72.5,Average,Medium
LOC0032,Nashik Museum,Tourist Attraction,Nashik,Maharashtra,19.943527,73.917924,Private,113,19,1,No,No,No,No,No,No,Yes,No,75.6,Poor,Poor,Low,No,No,Yes,No,No,Low,4,2980,17,33.2,24,9,1.8,2,6,NA,No,1.2,Poor,High
LOC0033,Mumbai General Hospital,Hospital,Mumbai,Maharashtra,19.127555,72.947642,Private,37,24,4,Yes,Yes,No,No,No,Yes,Yes,No,80.5,Average,Average,Low,Yes,No,Yes,No,Yes,High,17,4401,28,123.9,18,7,2.4,2.4,11,Good,Yes,59.9,Average,High
LOC0034,Jaipur City Hospital,Hospital,Jaipur,Rajasthan,26.846755,75.70993,Private,56,11,6,No,Yes,Yes,No,Yes,No,No,No,86.7,Poor,Good,Medium,No,Yes,No,No,No,Low,18,4266,24,128.1,13,4,3.7,3.8,12,Average,Partial,56.1,Average,Medium
LOC0035,Jaipur Bus Stand,Bus Stop,Jaipur,Rajasthan,26.980163,75.776539,Public,10,8,1,No,No,No,No,Yes,No,No,No,78.4,Poor,Average,Low,No,No,No,Yes,No,Medium,15,1925,5,14.9,17,2,2.4,1.8,19,NA,Partial,26.8,Poor,High
LOC0036,Mumbai Heritage Fort,Tourist Attraction,Mumbai,Maharashtra,19.11208,72.765811,Public,25,9,1,No,Yes,Yes,No,No,No,No,No,82.3,Good,Average,Low,Yes,No,No,Yes,No,High,16,779,2,13.9,25,6,1.7,1.7,10,Poor,Partial,41.3,Poor,High
LOC0037,Mysuru Public Garden,Park,Mysuru,Karnataka,12.347728,76.628697,Public,34,9,1,Yes,Yes,No,Yes,No,No,No,No,76.7,Poor,Average,Low,No,Yes,No,No,No,Medium,9,2062,10,17.7,19,7,1.2,1.9,0,Good,No,39.1,Poor,High
LOC0038,Indore Museum,Tourist Attraction,Indore,Madhya Pradesh,22.722284,75.946983,Public,174,40,1,Yes,No,No,No,No,No,No,Yes,69.1,Good,Average,Medium,No,No,No,Yes,Yes,High,14,1745,13,27.3,20,6,1.4,1.6,21,NA,Yes,44.2,Poor,High
LOC0039,Guwahati Central Park,Park,Guwahati,Assam,26.190142,91.724545,Private,6,2,1,No,No,No,No,No,No,No,Yes,91,Poor,Poor,Low,Yes,Yes,Yes,Yes,Yes,Low,10,2736,5,24.6,23,1,3.1,3.2,12,NA,No,29.2,Poor,High
LOC0040,Coimbatore Collectorate Office,Government Office,Coimbatore,Tamil Nadu,10.898379,76.860026,Public,61,25,1,No,No,Yes,Yes,No,No,No,No,86.8,Good,Poor,Medium,Yes,No,No,Yes,Yes,High,7,4769,15,39.9,31,9,2.3,2.5,15,NA,Yes,43.3,Poor,High
LOC0041,Bengaluru Municipal Office,Government Office,Bengaluru,Karnataka,12.946058,77.541109,Public,33,12,1,No,No,No,No,No,Yes,No,No,67.7,Poor,Poor,Medium,Yes,Yes,No,Yes,Yes,High,6,965,3,40.8,10,10,1.7,1.7,11,NA,No,14,Poor,High
LOC0042,Ahmedabad City Hospital,Hospital,Ahmedabad,Gujarat,22.896284,72.516077,Private,19,14,6,Yes,No,No,No,No,Yes,No,No,77.2,Average,Good,High,Yes,Yes,Yes,Yes,Yes,Medium,16,1691,11,67.2,18,5,2.4,2.6,6,NA,Partial,69.4,Average,Medium
LOC0043,Delhi Airport Terminal,Airport,Delhi,Delhi,28.763876,77.028837,Private,17,7,3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,93.2,Average,Average,High,Yes,Yes,Yes,Yes,Yes,High,19,3337,14,149.3,6,3,3.1,2.9,17,Good,Partial,96.4,Excellent,Low
